text,label,bucket,word_count
bro coming late today,Human,short,4
forgot charger again,Human,short,3
exam was terrible,Human,short,3
did u eat?,Human,short,3
this is annoying yaar,Human,short,4
mind keeps drifting,Human,short,3
still feels mentally blocked,Human,short,4
eyes feel so heavy,Human,short,4
cant believe sleep schedule is messed up,Human,short,7
food didnt taste good today again,Human,short,6
need a break badly again,Human,short,5
still everything feels rushed,Human,short,4
feels like lost track of time,Human,short,6
need some quiet time,Human,short,4
today nothing is synced today,Human,short,5
just feels frustrating honestly,Human,short,4
still too many thoughts colliding,Human,short,5
just mind feels stuck,Human,short,4
somehow why is everything so expensive,Human,short,6
somehow today feels confusing,Human,short,4
cant believe too distracted today,Human,short,5
mind feels unstable again,Human,short,4
cant believe cant think clearly,Human,short,5
feels like too many things to do today,Human,short,8
still cant get motivated,Human,short,4
cant believe woke up feeling tired,Human,short,6
honestly everything feels tiring,Human,short,4
lost interest midway,Human,short,3
today nothing feels exciting,Human,short,4
feels mentally drained,Human,short,3
honestly everything feels foggy,Human,short,4
somehow too many things to do today,Human,short,7
somehow feels frustrating honestly,Human,short,4
today feels really long again,Human,short,5
head feels foggy again,Human,short,4
cant believe too much noise around,Human,short,6
feels disconnected somehow,Human,short,3
head is hurting badly,Human,short,4
just feels tiring mentally,Human,short,4
somehow mind is racing again,Human,short,5
today mind is racing again,Human,short,5
somehow feels dull today,Human,short,4
feels mentally crowded again,Human,short,4
somehow wish things were simpler,Human,short,5
feels like dont feel like studying today,Human,short,7
feels disconnected somehow again,Human,short,4
today cant organize thoughts,Human,short,4
today mind is not settling,Human,short,5
today mind feels blank,Human,short,4
somehow cant think clearly,Human,short,4
today feel disconnected today,Human,short,4
feels like feels awkward all day,Human,short,6
still feels off balance,Human,short,4
still nothing feels clear,Human,short,4
today not in the mood to talk,Human,short,7
today missed an important call,Human,short,5
honestly feels draining honestly,Human,short,4
still mind keeps drifting,Human,short,4
honestly feel low energy,Human,short,4
still head feels foggy,Human,short,4
still head feels full,Human,short,4
feels mentally crowded,Human,short,3
today dont feel like studying today,Human,short,6
feels like feel tired even after rest,Human,short,7
today sleep schedule is messed up,Human,short,6
still classes were boring today,Human,short,5
somehow need a break badly,Human,short,5
just cant stay calm,Human,short,4
honestly brain needs a break,Human,short,5
feels like wasting time,Human,short,4
still dont know where the day went,Human,short,7
cant stop checking phone again,Human,short,5
cant feel excited,Human,short,3
honestly mood is off today,Human,short,5
still wish i slept more,Human,short,5
today wish today would end soon,Human,short,6
somehow head is hurting badly,Human,short,5
feels like feel disconnected today,Human,short,5
today feels mentally blocked,Human,short,4
still cant stay focused,Human,short,4
cant believe wish today would end soon,Human,short,7
brain feels slow again,Human,short,4
cant focus on tasks,Human,short,4
feels like time is flying again,Human,short,6
somehow nothing went as planned today,Human,short,6
phone battery draining fast,Human,short,4
honestly mind keeps drifting,Human,short,4
still everything feels slow,Human,short,4
somehow this headache wont go,Human,short,5
somehow cant reset properly,Human,short,4
feels like cant focus on anything,Human,short,6
feels like cant relax at all,Human,short,6
wish today would end soon,Human,short,5
somehow everything feels rushed again,Human,short,5
still lost interest midway,Human,short,4
today everything feels cluttered,Human,short,4
mind feels tired again,Human,short,4
mind feels unstable,Human,short,3
so many deadlines coming up again,Human,short,6
today nothing feels clear,Human,short,4
cant focus properly today again,Human,short,5
honestly cant stay alert,Human,short,4
today cant reset properly,Human,short,4
cant believe too many distractions,Human,short,5
still cant stay present,Human,short,4
cant believe cant feel excited,Human,short,5
somehow mind feels restless,Human,short,4
still feels mentally heavy,Human,short,4
today feels unbalanced,Human,short,3
feels like head is hurting badly,Human,short,6
still cant process things,Human,short,4
cant feel productive,Human,short,3
just feels mentally exhausting,Human,short,4
cant believe feels sleepy whole day,Human,short,6
somehow mind feels overloaded,Human,short,4
cant believe today feels really long,Human,short,6
cant believe everything feels rushed again,Human,short,6
cant believe feels off balance,Human,short,5
too distracted today,Human,short,3
somehow feels draining honestly,Human,short,4
somehow feels low for no reason,Human,short,6
cant believe head is hurting badly,Human,short,6
lost my notes somewhere again,Human,short,5
nothing feels exciting again,Human,short,4
honestly too tired to think straight,Human,short,6
feels like wish i could take a break,Human,short,8
cant believe lost track of time,Human,short,6
cant keep up,Human,short,3
cant believe feel tired even after rest,Human,short,7
just dont know where the day went,Human,short,7
today eyes feel so heavy,Human,short,5
cant believe wish i could pause time,Human,short,7
feels like feels draining honestly,Human,short,5
just cant sleep properly these days,Human,short,6
today wifi is acting weird again,Human,short,6
honestly lost interest midway,Human,short,4
honestly woke up late again,Human,short,5
dont know where the day went again,Human,short,7
still today just slipped away,Human,short,5
still brain feels empty today,Human,short,5
cant find my earphones,Human,short,4
going to the library?,Human,short,4
is attendance required today,Human,short,4
send the notes please,Human,short,4
was class cancelled,Human,short,3
the professor is very strict,Human,short,5
when is the exam,Human,short,4
did you finish the lab file,Human,short,6
got late today,Human,short,3
want to go to the canteen,Human,short,6
is proxy possible,Human,short,3
class was boring today,Human,short,4
need to submit the assignment,Human,short,5
what about the presentation,Human,short,4
did you form the group,Human,short,5
did internals come,Human,short,3
there might be a test tomorrow,Human,short,6
the professor looks annoyed,Human,short,4
no project ideas yet,Human,short,4
is the library open,Human,short,4
wifi is not working,Human,short,4
finally got the notes,Human,short,4
feeling sleepy in class,Human,short,4
attendance got short,Human,short,3
practical today,Human,short,2
record still pending,Human,short,3
got scolded today,Human,short,3
paper was tough,Human,short,3
marks are low,Human,short,3
is retest allowed,Human,short,3
hostel food is bad,Human,short,4
missed the bus,Human,short,3
system is slow in lab,Human,short,5
faculty is on leave,Human,short,4
is there a holiday,Human,short,4
will we get extension,Human,short,4
presentation is tomorrow,Human,short,3
had viva today,Human,short,3
professor asked me,Human,short,3
forgot the answer,Human,short,3
everyone was confused,Human,short,3
paper was lengthy,Human,short,3
did results come,Human,short,3
can we recheck,Human,short,3
internals done finally,Human,short,3
library is full,Human,short,3
canteen is crowded,Human,short,3
should we skip class,Human,short,4
any proxy arrangement,Human,short,3
attendance taken already,Human,short,3
late entry allowed,Human,short,3
got project guide,Human,short,3
topic approved,Human,short,2
send report format,Human,short,3
ppt not ready,Human,short,3
group member not replying,Human,short,4
deadline is close,Human,short,3
college tomorrow,Human,short,2
when will semester end,Human,short,4
what about fest,Human,short,3
events look interesting,Human,short,3
last day to register,Human,short,4
will we get certificate,Human,short,4
will credits count,Human,short,3
class is boring,Human,short,3
attendance tension,Human,short,2
marks situation bad,Human,short,3
could not understand lecture,Human,short,4
subject is tough,Human,short,3
notes are confusing,Human,short,3
need to go library,Human,short,4
have to write assignment,Human,short,4
project stress is real,Human,short,4
group not cooperating,Human,short,3
submission tomorrow,Human,short,2
should I mail professor,Human,short,4
no reply yet,Human,short,3
attendance list out,Human,short,3
proxy got caught,Human,short,3
college life exhausting,Human,short,3
final year pressure,Human,short,3
did you apply internship,Human,short,4
is your resume ready,Human,short,4
any placement update,Human,short,3
did you practice aptitude,Human,short,4
got interview date,Human,short,3
were you shortlisted,Human,short,3
heard about that company,Human,short,4
test might be online,Human,short,4
coding round was hard,Human,short,4
waiting for result,Human,short,3
when is next round,Human,short,4
got rejected,Human,short,2
trying next company,Human,short,3
placement cell slow,Human,short,3
updated profile,Human,short,2
offer letter arrived,Human,short,3
joining date when,Human,short,3
package looks okay,Human,short,3
bond maybe there,Human,short,3
location confirmed,Human,short,2
happy birthday bro,Human,short,3
when is the party,Human,short,4
who is bringing cake,Human,short,4
gift decided,Human,short,2
treat time today,Human,short,3
send pics later,Human,short,3
see you tomorrow,Human,short,3
on my way,Human,short,3
reached home,Human,short,2
call me later,Human,short,3
busy right now,Human,short,3
free after seven,Human,short,3
lets eat at seven,Human,short,4
movie plan,Human,short,2
which movie,Human,short,2
should I book tickets,Human,short,4
show is full,Human,short,3
take next show,Human,short,3
you bring snacks,Human,short,3
split the bill,Human,short,3
drive safe,Human,short,2
text when you reach,Human,short,4
missed your call,Human,short,3
phone was silent,Human,short,3
sorry for late reply,Human,short,4
internet is slow,Human,short,3
no signal here,Human,short,3
battery low,Human,short,2
forgot charger,Human,short,2
phone switched off,Human,short,3
just woke up,Human,short,3
slept late yesterday,Human,short,3
feeling sleepy,Human,short,2
need coffee,Human,short,2
skipped breakfast,Human,short,2
had lunch,Human,short,2
dinner plans,Human,short,2
are you home,Human,short,3
want to go out,Human,short,4
weather is nice,Human,short,3
too hot today,Human,short,3
rain started,Human,short,2
traffic is bad,Human,short,3
road blocked,Human,short,2
no auto available,Human,short,3
uber is expensive,Human,short,3
bus is late,Human,short,3
missed train,Human,short,2
reached office,Human,short,2
meeting started,Human,short,2
call after meeting,Human,short,3
too much workload,Human,short,3
tight deadline,Human,short,2
boss not happy,Human,short,3
client called,Human,short,2
presentation done,Human,short,2
work from home today,Human,short,4
leaving office now,Human,short,3
late night again,Human,short,3
waiting for weekend,Human,short,3
working saturday too,Human,short,3
need a holiday,Human,short,3
vacation planning,Human,short,2
trip ideas,Human,short,2
tickets cheap now,Human,short,3
hotel booked,Human,short,2
packing pending,Human,short,2
early flight,Human,short,2
reach early,Human,short,2
photos look great,Human,short,3
upload them,Human,short,2
posted story,Human,short,2
liked your post,Human,short,3
saw your comment,Human,short,3
will reply later,Human,short,3
left on seen,Human,short,3
no hard feelings,Human,short,3
everything okay,Human,short,2
miss you,Human,short,2
long time,Human,short,2
meet soon,Human,short,2
take care,Human,short,2
good night,Human,short,2
sleep well,Human,short,2
good morning,Human,short,2
have a nice day,Human,short,4
all the best,Human,short,3
best of luck,Human,short,3
congratulations,Human,short,1
proud of you,Human,short,3
well done,Human,short,2
this is annoying,Human,short,3
forget it,Human,short,2
mood ruined,Human,short,2
why always me,Human,short,3
done with this,Human,short,3
cannot deal anymore,Human,short,3
very tired today,Human,short,3
brain not working,Human,short,3
headache again,Human,short,2
feeling feverish,Human,short,2
need rest,Human,short,2
skipping today,Human,short,2
not feeling well,Human,short,3
no energy,Human,short,2
burnout feeling,Human,short,2
no motivation,Human,short,2
lazy day,Human,short,2
procrastinating again,Human,short,2
will do tomorrow,Human,short,3
not in mood,Human,short,3
later maybe,Human,short,2
leave it,Human,short,2
whatever happens,Human,short,2
life is tough,Human,short,3
adulting is hard,Human,short,3
too many responsibilities,Human,short,3
out of money,Human,short,3
salary delayed,Human,short,2
account empty,Human,short,2
rent due,Human,short,2
expenses increased,Human,short,2
budget messed up,Human,short,3
saving is hard,Human,short,3
shopping control bad,Human,short,3
impulse buy again,Human,short,3
feeling regret,Human,short,2
should not have done,Human,short,4
my mistake,Human,short,2
